INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
229643180,06/16/2021,21:34:00,BROOKLYN,73,0,,false,,,,25-44,M,BLACK,1006621,185426,40.67560823700006,-73.91935098699997,POINT (-73.91935098699997 40.67560823700006)
233147632,09/03/2021,16:28:00,BRONX,43,0,,false,,,,18-24,F,BLACK,1022465,242774,40.83295950100006,-73.86190538999993,POINT (-73.86190538999993 40.83295950100006)
231637053,07/31/2021,22:36:00,QUEENS,115,0,,false,,,,18-24,M,WHITE HISPANIC,1020765,213373,40.75226896500004,-73.86820844899995,POINT (-73.86820844899995 40.75226896500004)
238041594,12/17/2021,12:00:00,BRONX,50,0,,false,,,,25-44,M,BLACK,1010914,260940,40.88286213100001,-73.90357448999998,POINT (-73.90357448999998 40.88286213100001)
228798560,05/27/2021,22:50:00,QUEENS,103,0,,false,18-24,M,BLACK,25-44,M,BLACK,1037559,194576,40.70059059000005,-73.80774319999993,POINT (-73.80774319999993 40.70059059000005)
226542151,04/05/2021,23:15:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,true,45-64,M,BLACK,<18,F,BLACK,1010363,182581,40.667789106000036,-73.90587160499997,POINT (-73.90587160499997 40.667789106000036)
230508668,07/06/2021,13:54:00,QUEENS,105,0,GROCERY/BODEGA,false,18-24,F,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,1053360,197113,40.70744473800004,-73.75073132699998,POINT (-73.75073132699998 40.70744473800004)
227221321,04/21/2021,16:30:00,BRONX,41,0,,true,45-64,M,BLACK,45-64,M,BLACK,1014791,239916,40.82514498300003,-73.88964960399994,POINT (-73.88964960399994 40.82514498300003)
227647477,05/02/2021,20:24:00,BROOKLYN,81,0,,true,45-64,M,BLACK,45-64,M,BLACK,1004546,189469,40.68671035300008,-73.92681945999993,POINT (-73.92681945999993 40.68671035300008)
232188180,08/12/2021,14:00:00,QUEENS,103,0,GROCERY/BODEGA,false,65+,M,BLACK,45-64,M,BLACK HISPANIC,1036890,196410,40.705628483000055,-73.81014159699998,POINT (-73.81014159699998 40.705628483000055)
