"","precinct","year.x","time","cure","time_after_int","p0010001","shootings_count","shootings_per_person","arrests_count","arrests_per_pop"
"1",23,2006,1,"0",0,73106,37,0.000506114409214018,6217,0.0850408995157716
"2",23,2007,2,"0",0,73106,29,0.000396684266681257,6046,0.0827018302191339
"3",23,2008,3,"0",0,73106,22,0.000300932891965092,5960,0.0815254561869067
"4",23,2009,4,"0",0,73106,35,0.000478756873580828,6349,0.0868464968675622
"5",23,2010,5,"0",0,73106,46,0.000629223319563374,6158,0.0842338522145925
"6",23,2011,6,"0",0,73106,41,0.000560829480480398,6241,0.0853691899433699
"7",23,2012,7,"0",0,73106,32,0.000437720570131043,5696,0.0779142614833256
"8",23,2013,8,"0",0,73106,12,0.000164145213799141,5700,0.077968976554592
"9",23,2014,9,"0",0,73106,16,0.000218860285065521,5502,0.0752605805269061
"10",23,2015,10,"0",0,73106,23,0.000314611659781687,5141,0.0703225453451153
"11",23,2016,11,"1",1,73106,19,0.000259896588515307,4776,0.0653297950920581
"12",23,2017,12,"1",2,73106,10,0.000136787678165951,4216,0.0576696851147649
"13",23,2018,13,"1",3,73106,20,0.000273575356331902,3348,0.0457965146499603
"14",23,2019,14,"1",4,73106,33,0.000451399337947638,2820,0.0385741252427981
"15",23,2020,15,"1",5,73106,13,0.000177823981615736,74,0.00101222881842804
"16",25,2006,1,"0",0,47405,32,0.000675034279084485,7798,0.1644974158844
"17",25,2007,2,"0",0,47405,28,0.000590654994198924,9057,0.191055795802131
"18",25,2008,3,"0",0,47405,18,0.000379706781985023,8852,0.186731357451746
"19",25,2009,4,"0",0,47405,21,0.000442991245649193,8785,0.185318004429912
"20",25,2010,5,"0",0,47405,50,0.00105474106106951,9960,0.210104419365046
"21",25,2011,6,"0",0,47405,41,0.000864887670076996,8940,0.188587701719228
"22",25,2012,7,"0",0,47405,29,0.000611749815420314,9392,0.198122560911296
"23",25,2013,8,"0",0,47405,9,0.000189853390992511,9822,0.207193334036494
"24",25,2014,9,"0",0,47405,23,0.000485180888091973,9689,0.204387722814049
"25",25,2015,10,"0",0,47405,26,0.000548465351756144,7407,0.156249340786837
"26",25,2016,11,"0",0,47405,22,0.000464086066870583,6656,0.140407130049573
"27",25,2017,12,"0",0,47405,18,0.000379706781985023,6464,0.136356924375066
"28",25,2018,13,"0",0,47405,9,0.000189853390992511,5356,0.112983862461766
"29",25,2019,14,"1",1,47405,18,0.000379706781985023,4693,0.098997995991984
"30",25,2020,15,"1",2,47405,38,0.000801603206412826,125,0.00263685265267377
"31",32,2006,1,"0",0,70942,62,0.000873953370358885,6119,0.0862535592455809
"32",32,2007,2,"0",0,70942,36,0.000507456795692256,6227,0.0877759296326577
"33",32,2008,3,"0",0,70942,54,0.000761185193538384,7413,0.104493811846297
"34",32,2009,4,"0",0,70942,36,0.000507456795692256,7227,0.10187195173522
"35",32,2010,5,"0",0,70942,38,0.000535648839897381,6830,0.0962758309605029
"36",32,2011,6,"0",0,70942,33,0.000465168729384568,6823,0.096177158805785
"37",32,2012,7,"0",0,70942,33,0.000465168729384568,6102,0.0860139268698373
"38",32,2013,8,"0",0,70942,34,0.00047926475148713,5580,0.0786558033322996
"39",32,2014,9,"0",0,70942,25,0.000352400552564066,5315,0.0749203574751205
"40",32,2015,10,"0",0,70942,32,0.000451072707282005,5096,0.0718333286346593
"41",32,2016,11,"1",1,70942,42,0.000592032928307632,5187,0.0731160666459925
"42",32,2017,12,"1",2,70942,25,0.000352400552564066,3859,0.0543965492937893
"43",32,2018,13,"1",3,70942,14,0.000197344309435877,3130,0.0441205491810211
"44",32,2019,14,"1",4,70942,19,0.00026782441994869,2979,0.0419920498435342
"45",32,2020,15,"1",5,70942,25,0.000352400552564066,69,0.000972625525076823
"46",40,2006,1,"0",0,91497,49,0.000535536684262872,10964,0.119829065433839
"47",40,2007,2,"0",0,91497,56,0.000612041924871854,11167,0.1220477174115
"48",40,2008,3,"0",0,91497,54,0.000590183284697859,11071,0.120998502683148
"49",40,2009,4,"0",0,91497,71,0.000775981726176815,11989,0.131031618523012
"50",40,2010,5,"0",0,91497,67,0.000732264445828825,11543,0.126157141764211
"51",40,2011,6,"0",0,91497,87,0.000950850847568773,10753,0.117522978895483
"52",40,2012,7,"0",0,91497,59,0.000644829885132846,11319,0.123708974064723
"53",40,2013,8,"1",1,91497,38,0.000415314163305901,11296,0.123457599702722
"54",40,2014,9,"1",2,91497,42,0.00045903144365389,12718,0.138999092866433
"55",40,2015,10,"1",3,91497,32,0.000349738242783916,12116,0.13241964217406
"56",40,2016,11,"1",4,91497,34,0.000371596882957911,10358,0.113205897461119
"57",40,2017,12,"1",5,91497,32,0.000349738242783916,8357,0.0913363279670372
"58",40,2018,13,"1",6,91497,39,0.000426243483392898,6730,0.0735543241854924
"59",40,2019,14,"1",7,91497,32,0.000349738242783916,7098,0.0775763139775075
"60",40,2020,15,"1",8,91497,25,0.000273233002174935,74,0.000808769686437807
"61",42,2006,1,"0",0,79762,43,0.00053910383390587,5596,0.0701587221985407
"62",42,2007,2,"0",0,79762,63,0.000789849803164414,5813,0.0728793159649959
"63",42,2008,3,"0",0,79762,49,0.000614327624683433,6408,0.0803390085504375
"64",42,2009,4,"0",0,79762,64,0.000802387101627341,7679,0.096273914896818
"65",42,2010,5,"0",0,79762,48,0.000601790326220506,7472,0.0936786941149921
"66",42,2011,6,"0",0,79762,55,0.000689551415460996,7209,0.0903813846192422
"67",42,2012,7,"0",0,79762,61,0.00076477520623856,6354,0.0796619944334395
"68",42,2013,8,"0",0,79762,54,0.000677014116998069,6322,0.0792608008826258
"69",42,2014,9,"0",0,79762,55,0.000689551415460996,6361,0.07974975552268
"70",42,2015,10,"1",1,79762,40,0.000501491938517088,5713,0.0716255861187031
"71",42,2016,11,"1",2,79762,27,0.000338507058499035,5917,0.0741831950051403
"72",42,2017,12,"1",3,79762,31,0.000388656252350743,5327,0.0667861889120132
"73",42,2018,13,"1",4,79762,37,0.000463880043128307,4278,0.0536345628244026
"74",42,2019,14,"1",5,79762,37,0.000463880043128307,3703,0.0464256162082195
"75",42,2020,15,"1",6,79762,32,0.000401193550813671,97,0.00121611795090394
"76",44,2006,1,"0",0,146441,83,0.000566781161013651,11858,0.080974590449396
"77",44,2007,2,"0",0,146441,71,0.000484836896770713,13668,0.0933345169727057
"78",44,2008,3,"0",0,146441,62,0.00042337869858851,13810,0.0943041907662472
"79",44,2009,4,"0",0,146441,69,0.00047117951939689,14271,0.0974522162509133
"80",44,2010,5,"0",0,146441,49,0.000334605745658661,15859,0.108296173885729
"81",44,2011,6,"0",0,146441,68,0.000464350830709979,15078,0.102962968021251
"82",44,2012,7,"0",0,146441,57,0.000389235255153953,13322,0.0909717906870344
"83",44,2013,8,"0",0,146441,42,0.000286804924850281,12494,0.0853176364542717
"84",44,2014,9,"0",0,146441,53,0.000361920500406307,10824,0.0739137263471296
"85",44,2015,10,"0",0,146441,58,0.000396063943840864,10450,0.0713597967782247
"86",44,2016,11,"1",1,146441,45,0.000307290990911015,8765,0.0598534563407789
"87",44,2017,12,"1",2,146441,36,0.000245832792728812,7371,0.0503342643112243
