,cure_cohort,precinct,year.x,time,cure,time_after_int,p0010001,shootings_count,shootings_per_person,arrests_count,arrests_per_pop
1,2016,23,2006,1,0,0,73106,37,0.0005061144092,6217,0.08504089952
2,2016,23,2007,2,0,0,73106,29,0.0003966842667,6046,0.08270183022
3,2016,23,2008,3,0,0,73106,22,0.000300932892,5960,0.08152545619
4,2016,23,2009,4,0,0,73106,35,0.0004787568736,6349,0.08684649687
5,2016,23,2010,5,0,0,73106,46,0.0006292233196,6158,0.08423385221
6,2016,23,2011,6,0,0,73106,41,0.0005608294805,6241,0.08536918994
7,2016,23,2012,7,0,0,73106,32,0.0004377205701,5696,0.07791426148
8,2016,23,2013,8,0,0,73106,12,0.0001641452138,5700,0.07796897655
9,2016,23,2014,9,0,0,73106,16,0.0002188602851,5502,0.07526058053
10,2016,23,2015,10,0,0,73106,23,0.0003146116598,5141,0.07032254535
11,2016,23,2016,11,1,1,73106,19,0.0002598965885,4776,0.06532979509
12,2016,23,2017,12,1,2,73106,10,0.0001367876782,4216,0.05766968511
13,2016,23,2018,13,1,3,73106,20,0.0002735753563,3348,0.04579651465
14,2016,23,2019,14,1,4,73106,33,0.0004513993379,2820,0.03857412524
15,2016,23,2020,15,1,5,73106,13,0.0001778239816,74,0.001012228818
16,2019,25,2006,1,0,0,47405,32,0.0006750342791,7798,0.1644974159
17,2019,25,2007,2,0,0,47405,28,0.0005906549942,9057,0.1910557958
18,2019,25,2008,3,0,0,47405,18,0.000379706782,8852,0.1867313575
19,2019,25,2009,4,0,0,47405,21,0.0004429912456,8785,0.1853180044
20,2019,25,2010,5,0,0,47405,50,0.001054741061,9960,0.2101044194
21,2019,25,2011,6,0,0,47405,41,0.0008648876701,8940,0.1885877017
22,2019,25,2012,7,0,0,47405,29,0.0006117498154,9392,0.1981225609
23,2019,25,2013,8,0,0,47405,9,0.000189853391,9822,0.207193334
24,2019,25,2014,9,0,0,47405,23,0.0004851808881,9689,0.2043877228
25,2019,25,2015,10,0,0,47405,26,0.0005484653518,7407,0.1562493408
26,2019,25,2016,11,0,0,47405,22,0.0004640860669,6656,0.14040713
27,2019,25,2017,12,0,0,47405,18,0.000379706782,6464,0.1363569244
28,2019,25,2018,13,0,0,47405,9,0.000189853391,5356,0.1129838625
29,2019,25,2019,14,1,1,47405,18,0.000379706782,4693,0.09899799599
30,2019,25,2020,15,1,2,47405,38,0.0008016032064,125,0.002636852653
31,2016,32,2006,1,0,0,70942,62,0.0008739533704,6119,0.08625355925
32,2016,32,2007,2,0,0,70942,36,0.0005074567957,6227,0.08777592963
33,2016,32,2008,3,0,0,70942,54,0.0007611851935,7413,0.1044938118
34,2016,32,2009,4,0,0,70942,36,0.0005074567957,7227,0.1018719517
35,2016,32,2010,5,0,0,70942,38,0.0005356488399,6830,0.09627583096
36,2016,32,2011,6,0,0,70942,33,0.0004651687294,6823,0.09617715881
37,2016,32,2012,7,0,0,70942,33,0.0004651687294,6102,0.08601392687
38,2016,32,2013,8,0,0,70942,34,0.0004792647515,5580,0.07865580333
39,2016,32,2014,9,0,0,70942,25,0.0003524005526,5315,0.07492035748
40,2016,32,2015,10,0,0,70942,32,0.0004510727073,5096,0.07183332863
41,2016,32,2016,11,1,1,70942,42,0.0005920329283,5187,0.07311606665
42,2016,32,2017,12,1,2,70942,25,0.0003524005526,3859,0.05439654929
43,2016,32,2018,13,1,3,70942,14,0.0001973443094,3130,0.04412054918
44,2016,32,2019,14,1,4,70942,19,0.0002678244199,2979,0.04199204984
45,2016,32,2020,15,1,5,70942,25,0.0003524005526,69,0.0009726255251
46,2013,40,2006,1,0,0,91497,49,0.0005355366843,10964,0.1198290654
47,2013,40,2007,2,0,0,91497,56,0.0006120419249,11167,0.1220477174
48,2013,40,2008,3,0,0,91497,54,0.0005901832847,11071,0.1209985027
49,2013,40,2009,4,0,0,91497,71,0.0007759817262,11989,0.1310316185
50,2013,40,2010,5,0,0,91497,67,0.0007322644458,11543,0.1261571418
51,2013,40,2011,6,0,0,91497,87,0.0009508508476,10753,0.1175229789
52,2013,40,2012,7,0,0,91497,59,0.0006448298851,11319,0.1237089741
53,2013,40,2013,8,1,1,91497,38,0.0004153141633,11296,0.1234575997
54,2013,40,2014,9,1,2,91497,42,0.0004590314437,12718,0.1389990929
55,2013,40,2015,10,1,3,91497,32,0.0003497382428,12116,0.1324196422
56,2013,40,2016,11,1,4,91497,34,0.000371596883,10358,0.1132058975
57,2013,40,2017,12,1,5,91497,32,0.0003497382428,8357,0.09133632797
58,2013,40,2018,13,1,6,91497,39,0.0004262434834,6730,0.07355432419
59,2013,40,2019,14,1,7,91497,32,0.0003497382428,7098,0.07757631398
60,2013,40,2020,15,1,8,91497,25,0.0002732330022,74,0.0008087696864
61,2015,42,2006,1,0,0,79762,43,0.0005391038339,5596,0.0701587222
62,2015,42,2007,2,0,0,79762,63,0.0007898498032,5813,0.07287931596
63,2015,42,2008,3,0,0,79762,49,0.0006143276247,6408,0.08033900855
64,2015,42,2009,4,0,0,79762,64,0.0008023871016,7679,0.0962739149
65,2015,42,2010,5,0,0,79762,48,0.0006017903262,7472,0.09367869411
66,2015,42,2011,6,0,0,79762,55,0.0006895514155,7209,0.09038138462
67,2015,42,2012,7,0,0,79762,61,0.0007647752062,6354,0.07966199443
68,2015,42,2013,8,0,0,79762,54,0.000677014117,6322,0.07926080088
69,2015,42,2014,9,0,0,79762,55,0.0006895514155,6361,0.07974975552
70,2015,42,2015,10,1,1,79762,40,0.0005014919385,5713,0.07162558612
71,2015,42,2016,11,1,2,79762,27,0.0003385070585,5917,0.07418319501
72,2015,42,2017,12,1,3,79762,31,0.0003886562524,5327,0.06678618891
73,2015,42,2018,13,1,4,79762,37,0.0004638800431,4278,0.05363456282
74,2015,42,2019,14,1,5,79762,37,0.0004638800431,3703,0.04642561621
75,2015,42,2020,15,1,6,79762,32,0.0004011935508,97,0.001216117951
76,2016,44,2006,1,0,0,146441,83,0.000566781161,11858,0.08097459045
77,2016,44,2007,2,0,0,146441,71,0.0004848368968,13668,0.09333451697
78,2016,44,2008,3,0,0,146441,62,0.0004233786986,13810,0.09430419077
79,2016,44,2009,4,0,0,146441,69,0.0004711795194,14271,0.09745221625
