,No,Yes,t-stat,p-value
Total population,"112,550","121,191",0.73,0.47
Male,48.8%,46.4%,-5.93,0.0
Female,51.2%,53.6%,5.93,0.0
Hispanic or Latino,26.1%,32.1%,1.3,0.2
Asian alone,17.1%,6.3%,-4.06,0.0
American Indian or Alaska Native alone,0.5%,0.6%,0.94,0.35
Black or African American alone,11.1%,45.4%,9.66,0.0
Native Hawaiian or other Pacific Islander alone,0.1%,0.1%,0.01,0.99
White alone,51.3%,23.0%,-6.5,0.0
Some other race alone,12.4%,17.6%,1.8,0.08
Two or more races,7.5%,7.2%,-0.58,0.56
Adults with no high school diploma,4.7%,6.9%,3.59,0.0
Adults with high school diploma,13.7%,18.7%,3.95,0.0
Adults with Bachelor's degree or higher,36.8%,20.6%,-4.45,0.0
Unemployment Rate,6.7%,9.5%,4.96,0.0
Private health insurance,65.1%,51.1%,-4.27,0.0
Public coverage,37.5%,49.6%,4.47,0.0
No health insurance,6.0%,7.2%,1.79,0.08
Median household income,"$79,974","$51,390",-3.69,0.0
