,No,Yes,t-stat,p-value
Total population,"115,235","117,038",0.14,0.89
Male,48.6%,46.2%,-5.08,0.0
Female,51.4%,53.8%,5.08,0.0
Hispanic or Latino,25.4%,36.0%,2.18,0.03
Asian alone,16.3%,4.9%,-3.92,0.0
American Indian or Alaska Native alone,0.5%,0.6%,0.84,0.41
Black or African American alone,16.2%,43.4%,5.66,0.0
Native Hawaiian or other Pacific Islander alone,0.1%,0.1%,0.56,0.58
White alone,47.2%,24.3%,-4.34,0.0
Some other race alone,12.5%,19.0%,2.1,0.04
Two or more races,7.3%,7.7%,0.61,0.54
Adults with no high school diploma,4.8%,7.4%,3.96,0.0
Adults with high school diploma,14.4%,18.6%,2.92,0.0
Adults with Bachelor's degree or higher,35.0%,19.9%,-3.69,0.0
Unemployment Rate,6.8%,10.1%,5.55,0.0
Private health insurance,63.9%,49.5%,-4.05,0.0
Public coverage,38.4%,51.3%,4.36,0.0
No health insurance,6.2%,7.1%,1.28,0.2
Median household income,"$78,152","$46,720",-3.77,0.0
