"","precinct","year.x","time","cure","time_after_int","p0010001","shootings_count","shootings_per_person","arrest_precinct","year","arrests_count","arrests_per_pop","time_after_int_recode"
"1",23,"2006",1,"0",0,73106,37,0.000506114409214018,23,"2006",6217,0.0850408995157716,0
"2",23,"2007",2,"0",0,73106,29,0.000396684266681257,23,"2007",6046,0.0827018302191339,0
"3",23,"2008",3,"0",0,73106,22,0.000300932891965092,23,"2008",5960,0.0815254561869067,0
"4",23,"2009",4,"0",0,73106,35,0.000478756873580828,23,"2009",6349,0.0868464968675622,0
"5",23,"2010",5,"0",0,73106,46,0.000629223319563374,23,"2010",6158,0.0842338522145925,0
"6",23,"2011",6,"0",0,73106,41,0.000560829480480398,23,"2011",6241,0.0853691899433699,0
"7",23,"2012",7,"0",0,73106,32,0.000437720570131043,23,"2012",5696,0.0779142614833256,0
"8",23,"2013",8,"0",0,73106,12,0.000164145213799141,23,"2013",5700,0.077968976554592,0
"9",23,"2014",9,"0",0,73106,16,0.000218860285065521,23,"2014",5502,0.0752605805269061,0
"10",23,"2015",10,"0",0,73106,23,0.000314611659781687,23,"2015",5141,0.0703225453451153,0
"11",23,"2016",11,"1",1,73106,19,0.000259896588515307,23,"2016",4776,0.0653297950920581,0
"12",23,"2017",12,"1",2,73106,10,0.000136787678165951,23,"2017",4216,0.0576696851147649,1
"13",23,"2018",13,"1",3,73106,20,0.000273575356331902,23,"2018",3348,0.0457965146499603,2
"14",23,"2019",14,"1",4,73106,33,0.000451399337947638,23,"2019",2820,0.0385741252427981,3
"15",32,"2006",1,"0",0,70942,62,0.000873953370358885,32,"2006",6119,0.0862535592455809,0
"16",32,"2007",2,"0",0,70942,36,0.000507456795692256,32,"2007",6227,0.0877759296326577,0
"17",32,"2008",3,"0",0,70942,54,0.000761185193538384,32,"2008",7413,0.104493811846297,0
"18",32,"2009",4,"0",0,70942,36,0.000507456795692256,32,"2009",7227,0.10187195173522,0
"19",32,"2010",5,"0",0,70942,38,0.000535648839897381,32,"2010",6830,0.0962758309605029,0
"20",32,"2011",6,"0",0,70942,33,0.000465168729384568,32,"2011",6823,0.096177158805785,0
"21",32,"2012",7,"0",0,70942,33,0.000465168729384568,32,"2012",6102,0.0860139268698373,0
"22",32,"2013",8,"0",0,70942,34,0.00047926475148713,32,"2013",5580,0.0786558033322996,0
"23",32,"2014",9,"0",0,70942,25,0.000352400552564066,32,"2014",5315,0.0749203574751205,0
"24",32,"2015",10,"0",0,70942,32,0.000451072707282005,32,"2015",5096,0.0718333286346593,0
"25",32,"2016",11,"1",1,70942,42,0.000592032928307632,32,"2016",5187,0.0731160666459925,0
"26",32,"2017",12,"1",2,70942,25,0.000352400552564066,32,"2017",3859,0.0543965492937893,1
"27",32,"2018",13,"1",3,70942,14,0.000197344309435877,32,"2018",3130,0.0441205491810211,2
"28",32,"2019",14,"1",4,70942,19,0.00026782441994869,32,"2019",2979,0.0419920498435342,3
"29",40,"2006",1,"0",0,91497,49,0.000535536684262872,40,"2006",10964,0.119829065433839,0
"30",40,"2007",2,"0",0,91497,56,0.000612041924871854,40,"2007",11167,0.1220477174115,0
"31",40,"2008",3,"0",0,91497,54,0.000590183284697859,40,"2008",11071,0.120998502683148,0
"32",40,"2009",4,"0",0,91497,71,0.000775981726176815,40,"2009",11989,0.131031618523012,0
"33",40,"2010",5,"0",0,91497,67,0.000732264445828825,40,"2010",11543,0.126157141764211,0
"34",40,"2011",6,"0",0,91497,87,0.000950850847568773,40,"2011",10753,0.117522978895483,0
"35",40,"2012",7,"0",0,91497,59,0.000644829885132846,40,"2012",11319,0.123708974064723,0
"36",40,"2013",8,"1",1,91497,38,0.000415314163305901,40,"2013",11296,0.123457599702722,0
"37",40,"2014",9,"1",2,91497,42,0.00045903144365389,40,"2014",12718,0.138999092866433,1
"38",40,"2015",10,"1",3,91497,32,0.000349738242783916,40,"2015",12116,0.13241964217406,2
"39",40,"2016",11,"1",4,91497,34,0.000371596882957911,40,"2016",10358,0.113205897461119,3
"40",40,"2017",12,"1",5,91497,32,0.000349738242783916,40,"2017",8357,0.0913363279670372,4
"41",40,"2018",13,"1",6,91497,39,0.000426243483392898,40,"2018",6730,0.0735543241854924,5
"42",40,"2019",14,"1",7,91497,32,0.000349738242783916,40,"2019",7098,0.0775763139775075,6
"43",42,"2006",1,"0",0,79762,43,0.00053910383390587,42,"2006",5596,0.0701587221985407,0
"44",42,"2007",2,"0",0,79762,63,0.000789849803164414,42,"2007",5813,0.0728793159649959,0
"45",42,"2008",3,"0",0,79762,49,0.000614327624683433,42,"2008",6408,0.0803390085504375,0
"46",42,"2009",4,"0",0,79762,64,0.000802387101627341,42,"2009",7679,0.096273914896818,0
"47",42,"2010",5,"0",0,79762,48,0.000601790326220506,42,"2010",7472,0.0936786941149921,0
"48",42,"2011",6,"0",0,79762,55,0.000689551415460996,42,"2011",7209,0.0903813846192422,0
"49",42,"2012",7,"0",0,79762,61,0.00076477520623856,42,"2012",6354,0.0796619944334395,0
"50",42,"2013",8,"0",0,79762,54,0.000677014116998069,42,"2013",6322,0.0792608008826258,0
"51",42,"2014",9,"0",0,79762,55,0.000689551415460996,42,"2014",6361,0.07974975552268,0
"52",42,"2015",10,"1",1,79762,40,0.000501491938517088,42,"2015",5713,0.0716255861187031,0
"53",42,"2016",11,"1",2,79762,27,0.000338507058499035,42,"2016",5917,0.0741831950051403,1
"54",42,"2017",12,"1",3,79762,31,0.000388656252350743,42,"2017",5327,0.0667861889120132,2
"55",42,"2018",13,"1",4,79762,37,0.000463880043128307,42,"2018",4278,0.0536345628244026,3
"56",42,"2019",14,"1",5,79762,37,0.000463880043128307,42,"2019",3703,0.0464256162082195,4
"57",44,"2006",1,"0",0,146441,83,0.000566781161013651,44,"2006",11858,0.080974590449396,0
"58",44,"2007",2,"0",0,146441,71,0.000484836896770713,44,"2007",13668,0.0933345169727057,0
"59",44,"2008",3,"0",0,146441,62,0.00042337869858851,44,"2008",13810,0.0943041907662472,0
"60",44,"2009",4,"0",0,146441,69,0.00047117951939689,44,"2009",14271,0.0974522162509133,0
"61",44,"2010",5,"0",0,146441,49,0.000334605745658661,44,"2010",15859,0.108296173885729,0
"62",44,"2011",6,"0",0,146441,68,0.000464350830709979,44,"2011",15078,0.102962968021251,0
"63",44,"2012",7,"0",0,146441,57,0.000389235255153953,44,"2012",13322,0.0909717906870344,0
"64",44,"2013",8,"0",0,146441,42,0.000286804924850281,44,"2013",12494,0.0853176364542717,0
